timestamp_ns,trial_time_s,hand_visible,handedness,confidence,thumb_mcp,thumb_pip,thumb_dip,index_mcp,index_pip,index_dip,middle_mcp,middle_pip,middle_dip,ring_mcp,ring_pip,ring_dip,pinky_mcp,pinky_pip,pinky_dip
3788008669449,0.9175,1,Left,0.99,10.8,4.2,0.0,28.8,36.5,54.0,26.3,61.3,52.0,19.7,73.0,54.6,10.7,71.1,60.8
3788179655854,1.0885,1,Left,1.0,11.0,4.7,0.0,29.5,32.6,41.3,27.2,59.4,48.9,21.4,74.9,51.0,12.7,74.3,55.9
3788318291450,1.2271,1,Left,1.0,11.6,5.2,0.0,29.7,31.0,30.6,27.6,58.4,46.2,21.8,74.0,50.4,13.3,72.9,55.2
3788457669493,1.3665,1,Left,0.99,11.6,5.1,0.0,27.7,30.7,26.9,25.7,54.3,46.8,20.2,71.1,53.4,12.0,75.9,54.9
3788586398250,1.4952,1,Left,0.99,11.4,6.0,0.0,26.7,24.0,13.5,25.1,43.0,41.7,19.5,59.3,57.6,10.5,65.0,59.8
3788713543040,1.6224,1,Left,0.96,10.9,6.3,0.0,23.2,17.4,5.7,21.0,29.2,19.0,15.4,34.1,37.4,5.9,33.2,46.8
3788842789608,1.7516,1,Left,0.9,10.1,7.3,0.0,18.4,12.9,2.9,16.8,21.5,9.7,12.7,21.4,10.5,4.2,17.0,8.7
3788977350577,1.8862,1,Left,0.94,9.4,9.8,0.0,15.1,10.0,1.2,13.0,15.7,4.2,9.6,13.2,1.9,4.3,9.5,0.3
3789108135482,2.0169,1,Left,0.92,8.9,11.6,0.0,12.8,8.4,0.6,10.2,13.0,2.9,8.2,10.2,1.5,7.7,6.6,0.5
3789238981963,2.1478,1,Left,0.92,8.1,12.6,0.0,11.6,6.9,0.1,8.9,10.8,2.2,8.1,8.3,1.3,9.2,5.8,1.7
3789369304875,2.2781,1,Left,0.86,7.9,12.2,0.0,10.6,6.1,0.9,8.6,9.4,3.0,8.2,7.1,1.1,9.7,4.6,2.2
3789498650521,2.4075,1,Left,0.85,8.4,12.3,0.0,9.8,5.7,1.2,8.5,8.9,2.9,7.7,7.0,1.9,8.8,3.9,2.9
3789631301144,2.5401,1,Left,0.92,9.1,10.7,0.0,9.8,5.6,1.4,8.3,9.2,2.7,6.6,7.3,1.9,7.5,4.1,2.7
3789762363983,2.6712,1,Left,0.93,9.6,8.8,0.0,10.8,5.8,1.9,8.5,9.3,2.7,5.8,7.2,1.4,5.2,3.3,1.8
3789908101419,2.8169,1,Left,0.95,10.0,9.1,0.0,10.8,5.6,1.4,8.0,9.5,2.3,5.3,8.3,2.0,4.6,4.8,2.8
3790050984853,2.9598,1,Left,0.96,10.9,7.7,0.0,10.8,5.8,1.4,7.7,9.9,2.6,4.4,8.8,1.7,2.9,5.2,2.7
3790176238759,3.0851,1,Left,0.95,11.7,6.5,0.0,11.0,5.7,1.6,7.9,9.6,2.5,4.3,8.3,1.8,2.4,5.5,2.8
3790301947733,3.2108,1,Left,0.92,12.4,6.2,0.0,10.8,5.5,1.4,7.6,9.0,1.7,4.3,7.6,2.1,1.9,6.5,3.2
3790422800430,3.3316,1,Left,0.91,12.5,6.5,0.0,10.8,6.0,1.4,7.5,9.9,0.9,5.0,8.2,2.9,2.6,7.5,3.9
3790545013312,3.4538,1,Left,0.87,13.1,7.4,0.0,10.7,6.5,1.5,7.6,10.5,0.6,5.1,8.8,3.2,2.6,7.0,4.3
3790666920537,3.5757,1,Left,0.91,13.3,7.5,0.0,10.6,6.9,1.8,7.6,11.2,0.4,5.1,10.0,3.5,2.7,6.8,4.5
3790788934413,3.6977,1,Left,0.91,13.7,7.0,0.0,10.1,7.2,2.0,7.3,12.0,0.6,4.8,11.3,3.1,3.0,7.5,4.1
3790910515592,3.8193,1,Left,0.91,13.9,7.9,0.0,10.0,7.3,2.3,7.3,12.1,0.5,4.7,11.8,3.1,2.7,7.1,3.7
3791033686184,3.9425,1,Left,0.91,13.4,9.3,0.0,9.4,7.4,2.4,6.8,12.4,0.8,4.5,12.4,2.8,3.0,7.4,3.5
3791158523155,4.0673,1,Left,0.94,13.0,8.9,0.0,9.0,7.7,2.3,6.1,12.8,1.5,3.8,13.3,2.3,3.2,8.2,3.0
3791279556560,4.1884,1,Left,0.9,12.2,10.9,0.0,8.6,7.7,2.6,5.3,12.4,1.8,3.6,13.1,2.2,5.3,7.7,2.6
3791400700969,4.3095,1,Left,0.9,11.0,13.4,0.0,8.5,7.4,2.8,5.2,11.8,1.9,4.0,12.5,2.2,7.3,6.9,2.5
3791520906687,4.4297,1,Left,0.89,10.7,14.9,0.0,8.1,7.0,2.7,4.5,11.2,2.0,3.9,11.7,2.2,8.6,6.6,2.9
3791642217674,4.551,1,Left,0.9,9.7,17.0,0.0,7.8,7.2,2.7,4.1,11.2,2.3,4.0,11.9,2.1,10.2,6.6,2.6
3791767047016,4.6759,1,Left,0.92,9.4,17.6,0.0,7.8,7.4,2.9,4.2,11.5,2.5,4.5,12.4,2.0,11.5,6.7,2.2
3791888932093,4.7977,1,Left,0.92,8.8,18.2,0.0,8.1,7.2,3.0,4.4,11.1,2.3,4.6,11.8,2.1,11.6,6.0,2.2
3792009947758,4.9188,1,Left,0.91,8.1,18.7,0.0,8.1,7.1,3.0,4.6,10.8,2.3,4.7,11.7,2.2,11.7,6.0,2.3
3792132189141,5.041,1,Left,0.92,7.8,19.2,0.0,8.4,6.8,3.0,4.7,10.4,2.1,4.7,10.9,2.3,11.6,5.6,2.4
3792266180560,5.175,1,Left,0.91,7.6,19.2,0.0,8.4,6.7,3.0,4.9,10.3,2.0,4.7,10.6,2.3,11.2,5.4,2.2
3792408622855,5.3174,1,Left,0.91,7.5,18.9,0.0,8.5,6.6,3.0,5.0,10.2,2.0,4.7,10.4,2.2,10.9,5.1,2.0
3792548251297,5.4571,1,Left,0.91,7.9,18.8,0.0,8.5,6.5,2.9,4.9,10.0,1.7,4.3,9.9,2.5,10.3,4.9,2.3
3792686543574,5.5954,1,Left,0.91,7.9,19.4,0.0,8.4,6.5,2.8,4.7,10.0,1.5,4.2,10.0,2.7,10.4,5.2,2.5
3792825356642,5.7342,1,Left,0.91,7.8,20.2,0.0,8.4,6.6,2.8,4.6,10.0,1.4,4.1,10.1,2.8,10.3,5.3,2.6
3792970255281,5.8791,1,Left,0.91,7.9,20.6,0.0,8.4,6.6,2.8,4.6,10.0,1.3,4.1,10.1,2.9,10.3,5.4,2.6
3793094860395,6.0037,1,Left,0.91,7.8,20.8,0.0,8.4,6.6,2.8,4.5,10.0,1.3,4.0,10.2,3.0,10.3,5.4,2.7
3793221089311,6.1299,1,Left,0.92,7.9,20.4,0.0,8.4,6.6,2.8,4.5,10.0,1.3,4.0,10.1,3.0,10.3,5.4,2.7
