timestamp_ns,trial_time_s,hand_visible,handedness,confidence,thumb_mcp,thumb_pip,thumb_dip,index_mcp,index_pip,index_dip,middle_mcp,middle_pip,middle_dip,ring_mcp,ring_pip,ring_dip,pinky_mcp,pinky_pip,pinky_dip
4047511437894,0.9,1,Left,0.92,6.9,10.2,0.0,8.4,8.0,1.5,4.6,13.2,2.9,4.1,11.0,4.9,2.0,4.7,4.2
4047674600393,1.0631,1,Left,0.93,6.8,9.5,0.0,7.8,7.4,1.9,4.3,11.7,2.3,4.8,10.5,3.5,3.5,4.5,3.3
4047803310255,1.1918,1,Left,0.89,6.7,9.2,0.0,6.7,7.0,2.4,3.9,10.9,2.2,4.5,10.8,2.9,3.3,5.1,3.0
4047928448351,1.317,1,Left,0.91,6.2,11.2,0.0,5.9,6.3,3.0,3.0,9.9,2.2,3.5,10.3,3.5,2.7,4.9,3.6
4048049936751,1.4385,1,Left,0.89,6.1,11.8,0.0,5.3,5.8,2.9,2.7,9.2,2.4,2.6,10.0,3.1,1.8,4.7,3.3
4048172037723,1.5606,1,Left,0.95,5.8,11.5,0.0,5.0,5.9,2.8,2.1,9.1,2.6,2.1,10.0,2.4,2.6,5.2,2.5
4048296591265,1.6851,1,Left,0.87,6.2,12.6,0.0,5.4,6.1,2.2,1.4,9.2,2.2,1.3,9.9,2.6,4.5,5.2,3.0
4048417077100,1.8056,1,Left,0.92,6.1,12.3,0.0,5.7,5.9,1.7,1.3,9.0,1.8,0.9,9.9,3.0,5.4,5.2,3.6
4048539770998,1.9283,1,Left,0.91,5.5,11.7,0.0,5.5,5.3,1.3,1.1,8.5,1.4,0.7,9.6,3.6,5.9,4.9,4.8
4048661142487,2.0497,1,Left,0.93,6.0,11.3,0.0,5.8,5.6,1.8,1.9,8.7,1.3,1.3,9.6,3.6,5.0,4.8,4.4
4048782680519,2.1712,1,Left,0.91,5.9,10.2,0.0,6.1,5.9,2.2,2.5,8.9,1.7,1.8,9.3,3.4,4.2,4.5,4.1
4048903688480,2.2922,1,Left,0.89,5.9,10.4,0.0,6.0,5.9,2.0,2.5,8.8,1.6,2.0,9.2,3.5,2.4,4.7,4.2
4049026997395,2.4155,1,Left,0.85,5.4,9.9,0.0,6.5,6.1,2.2,2.7,9.0,1.3,2.7,9.0,3.8,0.5,5.8,4.1
4049148047134,2.5366,1,Left,0.86,5.5,11.3,0.0,6.3,6.0,2.3,2.7,9.3,1.0,3.4,9.1,4.1,1.2,7.2,4.1
4049269709355,2.6582,1,Left,0.84,5.1,13.6,0.0,6.5,6.1,2.3,2.8,9.3,0.8,2.4,8.9,4.5,0.9,6.2,4.8
4049390006259,2.7785,1,Left,0.92,5.1,12.3,0.0,6.7,6.5,2.9,3.1,9.5,1.5,2.4,9.5,4.6,1.6,5.4,4.9
4049512956905,2.9015,1,Left,0.92,5.4,12.3,0.0,6.5,6.5,2.7,3.0,9.4,1.4,1.7,9.7,4.0,3.3,5.1,4.0
4049635455482,3.024,1,Left,0.87,5.9,12.8,0.0,6.7,6.5,2.7,3.5,9.3,1.3,1.7,9.6,4.0,3.4,4.6,3.7
4049756573873,3.1451,1,Left,0.88,6.9,13.0,0.0,6.6,6.5,2.7,3.5,9.2,1.3,1.5,9.2,3.9,3.8,4.2,3.6
4049877417700,3.2659,1,Left,0.85,7.5,13.1,0.0,6.5,6.5,2.6,3.8,9.1,1.3,1.5,9.1,3.9,4.2,4.2,3.6
4049998615556,3.3871,1,Left,0.87,8.8,12.3,0.0,6.7,6.2,2.8,4.0,8.7,1.6,1.6,8.4,3.8,3.7,3.4,3.8
4050120929832,3.5094,1,Left,0.86,9.5,12.5,0.0,6.7,6.2,2.8,4.1,8.6,1.7,1.5,8.3,3.5,4.2,3.2,3.5
