timestamp_ns,trial_time_s,hand_visible,handedness,confidence,thumb_mcp,thumb_pip,thumb_dip,index_mcp,index_pip,index_dip,middle_mcp,middle_pip,middle_dip,ring_mcp,ring_pip,ring_dip,pinky_mcp,pinky_pip,pinky_dip
4346684784721,0.8664,0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4346862831138,1.0444,0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4347012357967,1.1939,0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4347149793166,1.3314,0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4347288482939,1.4701,0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4347432597518,1.6142,0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4347567445328,1.749,0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4347703199590,1.8848,0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4347839886527,2.0215,0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4347976521333,2.1581,0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4348126352449,2.3079,0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4348260847674,2.4424,0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4348414387250,2.596,1,Left,0.87,10.0,8.5,0.0,35.4,44.3,20.8,31.8,44.6,14.0,28.8,39.0,16.5,22.4,35.0,15.6
4348538765033,2.7203,0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4348693958454,2.8755,1,Left,0.69,7.6,4.7,0.0,33.5,43.5,21.6,30.9,43.2,15.2,25.8,42.3,18.3,19.7,41.0,16.9
4348826075258,3.0077,1,Left,0.76,9.0,3.5,0.0,38.4,43.1,19.2,35.0,40.9,14.5,30.8,41.0,17.2,23.6,41.2,16.1
4348953410442,3.135,1,Left,0.72,10.8,1.9,0.0,34.0,51.9,21.4,31.9,45.2,16.3,29.2,42.6,18.7,24.7,41.9,17.2
4349084772799,3.2663,1,Left,0.76,9.3,0.3,0.0,27.9,47.7,24.9,25.2,45.7,18.0,21.9,41.0,20.9,17.6,41.7,20.0
4349226181207,3.4078,1,Left,0.91,7.1,1.3,0.0,16.3,35.0,25.4,17.6,38.2,15.1,14.6,35.6,18.0,12.2,33.5,17.3
